subject,kernel,r_s,balanced_hit_seed_mean,raw_hit_seed_mean,auc_seed_mean
P3Numbers_20150126_m_15_002,33,12,0.0,0.0,0.5595860566448801
P3Numbers_20150126_m_15_003,33,19,0.0,0.0,0.5038276029912828
P3Numbers_20150126_m_15_004,33,13,0.0,0.0,0.5671198624785122
P3Numbers_20150203_m_15_001,33,25,0.6666666666666666,1.0,0.6818421417672353
P3Numbers_20150203_m_16_001,33,26,0.6666666666666666,0.3333333333333333,0.5622071050642479
P3Numbers_20150203_m_17_001,33,18,0.0,0.0,0.49569209039548023
P3Numbers_20150203_m_17_002,33,21,0.0,0.0,0.5535444947209652
P3Numbers_20150203_m_17_003,33,25,0.6666666666666666,1.0,0.6717486994797919
P3Numbers_20150203_m_17_004,33,28,1.0,1.0,0.7180303030303031
P3Numbers_20150203_m_17_005,33,15,0.6666666666666666,1.0,0.8053163211057948
P3Numbers_20150203_m_17_006,33,29,0.3333333333333333,0.0,0.5739463601532567
P3Numbers_20150204_f_11_001,33,23,0.6666666666666666,1.0,0.7055169894044574
P3Numbers_20150204_f_11_002,33,13,0.0,0.0,0.6219528619528619
P3Numbers_20150204_f_12_001,33,11,1.0,1.0,0.7484848484848485
P3Numbers_20150204_f_12_002,33,16,1.0,1.0,0.8436084987809126
P3Numbers_20150204_f_12_003,33,10,1.0,1.0,0.8267419962335216
P3Numbers_20150204_f_13_001,33,9,1.0,0.0,0.8025711662075299
P3Numbers_20150204_f_13_002,33,22,0.6666666666666666,0.6666666666666666,0.5473763236921133
P3Numbers_20150204_f_13_003,33,15,1.0,1.0,0.6614842454394693
P3Numbers_20150204_m_12_001,33,34,0.0,0.0,0.6157009770506704
P3Numbers_20150204_m_12_002,33,19,1.0,0.6666666666666666,0.670391061452514
P3Numbers_20150204_m_12_003,33,32,0.0,0.0,0.43429989550679204
P3Numbers_20150204_m_12_004,33,24,0.0,0.3333333333333333,0.5648731768216558
P3Numbers_20150204_m_12_005,33,23,1.0,1.0,0.7725468975468975
P3Numbers_20150204_m_12_006,33,23,0.0,0.0,0.5068409586056645
P3Numbers_20150204_m_13_001,33,18,0.3333333333333333,0.3333333333333333,0.6207482993197279
P3Numbers_20150204_m_13_002,33,7,0.6666666666666666,1.0,0.7227595099935525
P3Numbers_20150204_m_13_003,33,23,0.0,0.3333333333333333,0.5500910746812385
P3Numbers_20150204_m_13_004,33,28,0.0,0.0,0.5976268796992481
P3Numbers_20150204_m_13_005,33,7,0.0,0.0,0.503968253968254
P3Numbers_20150204_m_14_001,33,22,1.0,1.0,0.7560453869047619
P3Numbers_20150224_f_09_001,33,28,0.6666666666666666,0.6666666666666666,0.6618773946360154
P3Numbers_20150224_f_10_001,33,23,0.3333333333333333,0.3333333333333333,0.555444887118194
P3Numbers_20150224_f_11_001,33,27,1.0,1.0,0.6498161764705882
P3Numbers_20150224_f_11_002,33,10,0.0,0.6666666666666666,0.5526374859708193
P3Numbers_20150224_f_14_001,33,23,0.0,0.0,0.5288376611906024
P3Numbers_20150224_f_15_001,33,14,1.0,1.0,0.7328803623767652
P3Numbers_20150224_m_11_001,33,13,0.3333333333333333,0.3333333333333333,0.6774038461538462
P3Numbers_20150224_m_11_002,33,19,0.6666666666666666,0.6666666666666666,0.6531135531135531
P3Numbers_20150224_m_11_003,33,22,0.0,0.3333333333333333,0.6688218390804597
P3Numbers_20150224_m_11_004,33,31,0.0,0.0,0.5107556536127965
P3Numbers_20150224_m_12_001,33,17,1.0,1.0,0.6914838035527691
P3Numbers_20150224_m_12_002,33,3,0.0,1.0,0.7469135802469135
P3Numbers_20150224_m_12_003,33,18,0.0,0.0,0.4540051679586563
P3Numbers_20150224_m_13_001,33,22,0.0,0.0,0.4760806029841563
P3Numbers_20150224_m_13_002,33,13,1.0,1.0,0.7470291146761735
P3Numbers_20150224_m_14_001,33,34,0.3333333333333333,0.3333333333333333,0.622948717948718
P3Numbers_20150224_m_15_001,33,30,0.0,0.0,0.4893048128342246
P3Numbers_20150224_m_15_002,33,24,0.0,0.0,0.5204924074893115
P3Numbers_20150224_m_15_003,33,13,0.0,0.0,0.3902889143438972
P3Numbers_20150224_m_15_004,33,18,0.0,1.0,0.6303209651718644
P3Numbers_20150314_m_12_001,33,17,1.0,0.0,0.6347853535353535
P3Numbers_20150326_f_13_001,33,5,1.0,1.0,0.947265625
P3Numbers_20150326_f_13_002,33,20,0.3333333333333333,0.6666666666666666,0.6529761904761905
P3Numbers_20150326_f_15_001,33,27,0.6666666666666666,0.6666666666666666,0.6975533108866442
P3Numbers_20150326_m_14_001,33,18,1.0,1.0,0.816152407667134
P3Numbers_20150326_m_14_002,33,14,0.6666666666666666,1.0,0.7334747260516084
P3Numbers_20150326_m_15_001,33,21,1.0,1.0,0.7540809968847352
P3Numbers_20150326_m_15_002,33,26,1.0,1.0,0.6246385790995457
P3Numbers_20150326_m_15_003,33,24,0.0,0.0,0.530316091954023
P3Numbers_20150326_m_15_004,33,23,0.0,0.0,0.44228324434274097
P3Numbers_20150326_m_16_001,33,13,1.0,1.0,0.8681276432141484
P3Numbers_20150414_f_11_001,33,27,1.0,1.0,0.794625486381323
P3Numbers_20150414_f_11_002,33,9,1.0,1.0,0.8026503567787971
P3Numbers_20150414_f_12_001,33,14,1.0,1.0,0.9017456947393253
P3Numbers_20150414_f_13_001,33,13,1.0,1.0,0.812996632996633
P3Numbers_20150414_f_13_002,33,14,1.0,1.0,0.8576509291366586
P3Numbers_20150414_f_13_003,33,24,0.0,0.0,0.4074815270935961
P3Numbers_20150414_f_13_004,33,10,0.0,0.0,0.6006263616557734
P3Numbers_20150414_f_14_001,33,22,1.0,1.0,0.8023410965550704
P3Numbers_20150414_f_14_002,33,9,1.0,1.0,0.8214670981661273
P3Numbers_20150414_f_14_003,33,16,0.6666666666666666,0.0,0.6647852760736196
